timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
18596000,-0.0014146218,0.006679495,-0.020906646,0.0005119271,0.0005119271,0.69948804,0.06399544,0.06399544,-0.06399544,4.0,4.0,-4.0,1.616142,-0.0003431202
18796000,-0.0012387428,0.006270951,-0.021165349,0.0005119614,0.0005119614,0.69948804,0.06399759,0.06399759,-0.06399759,4.0,4.0,-4.0,1.6159499,-0.0010260547
18996000,0.00042471712,0.0062346114,-0.01878638,0.00051190483,0.00051190483,0.6994881,0.06399405,0.06399405,-0.06399405,4.0,4.0,-4.0,1.6154287,-0.002452239
19196000,0.0021162487,0.0059756045,-0.017340502,0.00051190954,0.00051190954,0.6994881,0.06399435,0.06399435,-0.06399435,4.0,4.0,-4.0,1.61526,-0.0017615526
19396000,0.0048682783,0.0062596817,-0.012407889,0.00051185477,0.00051185477,0.69948816,0.06399092,0.06399092,-0.06399092,4.0,4.0,-4.0,1.6146954,-0.0027367352
19596000,0.00863296,0.0063562198,-0.012076013,0.0005118292,0.0005118292,0.69948816,0.06398933,0.06398933,-0.06398933,4.0,4.0,-4.0,1.6148282,-0.00042874442
19796000,0.012991805,0.00682926,-0.00957517,0.00051180564,0.00051180564,0.69948816,0.06398785,0.06398785,-0.06398785,4.0,4.0,-4.0,1.6148795,-0.00012970969
19996000,0.016598836,0.006915225,-0.012723818,0.0005118284,0.0005118284,0.69948816,0.063989274,0.063989274,-0.063989274,4.0,4.0,-4.0,1.6146868,-0.000847279
20196000,0.02121195,0.0075545176,-0.0110551305,0.0005117953,0.0005117953,0.69948816,0.0639872,0.0639872,-0.0639872,4.0,4.0,-4.0,1.6147791,3.5171117e-05
20396000,0.018374054,0.0072193565,-0.01266497,0.00051194214,0.00051194214,0.69948804,0.06399638,0.06399638,-0.06399638,4.0,4.0,-4.0,1.6144058,-0.0016885381
20596000,0.018451676,0.007029214,-0.010395664,0.0005119366,0.0005119366,0.69948804,0.06399604,0.06399604,-0.06399604,4.0,4.0,-4.0,1.61409,-0.0016064536
20796000,0.01764948,0.004428492,-0.013669517,0.0005118986,0.0005118986,0.6994881,0.06399366,0.06399366,-0.06399366,4.0,4.0,-4.0,1.6144449,0.00056166766
20996000,0.018938536,0.0022580107,-0.011158504,0.00051187846,0.00051187846,0.6994881,0.0639924,0.0639924,-0.0639924,4.0,4.0,-4.0,1.6140672,-0.0011955192
21196000,0.015024577,0.0013559602,-0.010256552,0.0005118897,0.0005118897,0.6994881,0.063993104,0.063993104,-0.063993104,4.0,4.0,-4.0,nan,0.0
21396000,0.013865141,-0.00017529498,-0.0054733655,0.00051192474,0.00051192474,0.69948804,0.063995294,0.063995294,-0.063995294,4.0,4.0,-4.0,nan,0.0
21596000,0.009643686,-3.6191093e-05,-0.0068705464,7.4336085e-06,0.00051189645,0.6994881,0.00046634674,0.06399353,-0.06399353,0.0,4.0,-4.0,nan,0.0
21796000,0.008401122,-0.0010754021,-0.0034787343,8.735585e-06,4.506316e-06,0.69948804,0.00054836273,0.0002822876,-0.0639954,0.0,0.0,-4.0,nan,0.0
21996000,0.006309976,-0.0004333031,-0.0055384696,1.0368258e-05,3.7922214e-06,0.69948804,0.00065135956,0.0002374649,-0.063997164,0.0,0.0,-4.0,nan,0.0
22196000,0.0062703923,-0.0018545459,-0.002725785,1.0654567e-05,4.992148e-06,0.6994881,0.00066947937,0.00031280518,-0.06399356,0.0,0.0,-4.0,nan,0.0
22396000,0.0063553564,-0.0020377375,-0.00376854,0.00021520417,8.256109e-05,0.631306,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
22596000,0.0064214654,-0.0020121722,-0.0013286347,0.0004463915,0.00017328262,0.5313812,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
22796000,0.006533694,-0.001968509,0.00024015206,0.0006774345,0.00026394744,0.43151885,0.001156807,0.00045394897,-0.5,0.0,0.0,0.0,nan,0.0
