timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8]
14812000,14812000,0.016182724,0.018197892,-0.0001538021,0.001,0.0,0.0,0.0,0.0,0.0
14864000,14864000,0.016426656,0.018341474,0.0002680178,0.001,0.0,0.0,0.0,0.0,0.0
14908000,14908000,0.01600708,0.018098794,0.0004350509,0.001,0.0,0.0,0.0,0.0,0.0
14964000,14964000,0.016084392,0.017076867,-8.2837316e-05,0.001,0.0,0.0,0.0,0.0,0.0
15012000,15012000,0.016217103,0.018504957,4.4517696e-05,0.001,0.0,0.0,0.0,0.0,0.0
15064000,15064000,0.015532377,0.019776959,3.5477977e-05,0.001,0.0,0.0,0.0,0.0,0.0
15112000,15112000,0.016480362,0.018268349,-0.00025487607,0.001,0.0,0.0,0.0,0.0,0.0
15164000,15164000,0.015253416,0.017331744,-0.00037421635,0.001,0.0,0.0,0.0,0.0,0.0
15212000,15212000,0.016145226,0.018514914,0.00012813012,0.001,0.0,0.0,0.0,0.0,0.0
15264000,15264000,0.016097696,0.017954202,0.00048339,0.001,0.0,0.0,0.0,0.0,0.0
15312000,15312000,0.015753912,0.017151559,0.0005952089,0.001,0.0,0.0,0.0,0.0,0.0
15364000,15364000,0.01579169,0.017566705,-0.00031608372,0.001,0.0,0.0,0.0,0.0,0.0
15412000,15412000,0.015839096,0.017656788,0.0002608763,0.001,0.0,0.0,0.0,0.0,0.0
15460000,15460000,0.01634781,0.017413689,-1.8714823e-05,0.001,0.0,0.0,0.0,0.0,0.0
15512000,15512000,0.016800106,0.018418556,-0.00028972002,0.001,0.0,0.0,0.0,0.0,0.0
15560000,15560000,0.016389841,0.017437456,0.0006677042,0.001,0.0,0.0,0.0,0.0,0.0
15612000,15612000,0.015260742,0.018195195,-0.00023103916,0.001,0.0,0.0,0.0,0.0,0.0
15664000,15664000,0.0153173385,0.016491426,-0.00029022116,0.001,0.0,0.0,0.0,0.0,0.0
15712000,15712000,0.016344786,0.017030837,-0.00056942826,0.001,0.0,0.0,0.0,0.0,0.0
15764000,15764000,0.015240595,0.017521672,0.00026598966,0.001,0.0,0.0,0.0,0.0,0.0
15812000,15812000,0.015682384,0.017651455,0.00037435707,0.001,0.0,0.0,0.0,0.0,0.0
15864000,15864000,0.015580755,0.018174553,9.915853e-05,0.001,0.0,0.0,0.0,0.0,0.0
15912000,15912000,0.0166885,0.016036622,-3.648725e-05,0.001,0.0,0.0,0.0,0.0,0.0
15964000,15964000,0.016788606,0.017567752,0.00018710093,0.001,0.0,0.0,0.0,0.0,0.0
16012000,16012000,0.015575845,0.016872346,9.710296e-06,0.001,0.0,0.0,0.0,0.0,0.0
16060000,16060000,0.015914936,0.01662413,-0.0003030993,0.001,0.0,0.0,0.0,0.0,0.0
16108000,16108000,0.015402722,0.017738314,0.00043368852,0.001,0.0,0.0,0.0,0.0,0.0
16164000,16164000,0.017016763,0.01628556,-0.0002393535,0.001,0.0,0.0,0.0,0.0,0.0
16212000,16212000,0.015863013,0.015326791,0.00051665166,0.001,0.0,0.0,0.0,0.0,0.0
16264000,16264000,0.01704164,0.017030373,0.00032868265,0.001,0.0,0.0,0.0,0.0,0.0
16308000,16308000,0.015477038,0.01681794,0.00019442754,0.001,0.0,0.0,0.0,0.0,0.0
16360000,16360000,0.015454966,0.016963286,0.0006407211,0.001,0.0,0.0,0.0,0.0,0.0
16412000,16412000,0.016158815,0.016781697,0.00017093569,0.001,0.0,0.0,0.0,0.0,0.0
16464000,16464000,0.01650327,0.015299426,0.00020298465,0.001,0.0,0.0,0.0,0.0,0.0
